EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005046370,532462,232001875,VESTIDO PLANO CURTO ESTAMPA TRAJE DE LUCES,ESTAMPADO,GG,14,08 06 03
9000005084723,535465,231003977,BLUSA PLANA MANGA CURTA ESTAMPA TRIANA,AZUL,P,28,08 05 06
9000005084761,535467,231003977,BLUSA PLANA MANGA CURTA ESTAMPA TRIANA,AZUL,G,6,08 05 06
9000005084785,535468,231003977,BLUSA PLANA MANGA CURTA ESTAMPA TRIANA,AZUL,GG,14,08 05 06
9000005109891,537642,231003963,BLUSA PLANA LISA MANGA 3/4 COM PREGAS,BEGE,P,13,08 05 05
9000005109938,537644,231003963,BLUSA PLANA LISA MANGA 3/4 COM PREGAS,BEGE,G,5,08 05 05
9000005109952,537645,231003963,BLUSA PLANA LISA MANGA 3/4 COM PREGAS,BEGE,GG,17,08 05 05
9000005109969,537649,231003963,BLUSA PLANA LISA MANGA 3/4 COM PREGAS,OCRE,GG,7,08 05 05
9000005129172,539270,231003979,CROPPED PLANA LISA COM DET AVIAMENTO DECOTE,ROSA,P,5,08 05 04
9000005056867,533289,231003941,CROPPED PLANO LISO COM DETALHES BARRA,CARAMELO,P,12,08 05 03
9000005056874,533290,231003941,CROPPED PLANO LISO COM DETALHES BARRA,CARAMELO,M,44,08 05 03
9000005056881,533291,231003941,CROPPED PLANO LISO COM DETALHES BARRA,CARAMELO,G,25,08 05 03
9000005056898,533292,231003941,CROPPED PLANO LISO COM DETALHES BARRA,CARAMELO,GG,20,08 05 03
9000005099888,536694,231003941,CROPPED PLANO LISO COM DETALHES BARRA,VERDE,P,20,08 05 03
9000005099895,536695,231003941,CROPPED PLANO LISO COM DETALHES BARRA,VERDE,M,34,08 05 03
9000005099901,536696,231003941,CROPPED PLANO LISO COM DETALHES BARRA,VERDE,G,18,08 05 03
9000005099918,536697,231003941,CROPPED PLANO LISO COM DETALHES BARRA,VERDE,GG,19,08 05 03
